pmid,url,title,abstract,publicationYear,publicationType,journalTitle,evidenceType,diseaseSetting,histology,lineOfTherapy,biomarkers,interventionTags,outcomeTags,relevantN
38512301,https://pubmed.ncbi.nlm.nih.gov/38512301,Neoadjuvant Chemoimmunotherapy for NSCLC: A Systematic Review and Meta-Analysis.,"IMPORTANCE: To date, no meta-analyses have comprehensively assessed the association of neoadjuvant chemoimmunotherapy with clinical outcomes in non-small cell lung cancer (NSCLC) in randomized and nonrandomized settings. In addition, there exists controversy concerning the efficacy of neoadjuvant chemoimmunotherapy for patients with NSCLC with programmed cell death 1 ligand 1 (PD-L1) levels less than 1%. OBJECTIVE: To compare neoadjuvant chemoimmunotherapy with chemotherapy by adverse events and surgical, pathological, and efficacy outcomes using recently published randomized clinical trials and nonrandomized trials. DATA SOURCES: MEDLINE and Embase were systematically searched from January 1, 2013, to October 25, 2023, for all clinical trials of neoadjuvant chemoimmunotherapy and chemotherapy that included at least 10 patients. STUDY SELECTION: Observational studies and trials reporting the use of neoadjuvant radiotherapy, including chemoradiotherapy, molecular targeted therapy, or immunotherapy monotherapy, were excluded. MAIN OUTCOMES AND MEASURES: Surgical, pathological, and efficacy end points and adverse events were pooled using a random-effects meta-analysis. RESULTS: Among 43 eligible trials comprising 5431 patients (4020 males [74.0%]; median age range, 55-70 years), there were 8 randomized clinical trials with 3387 patients. For randomized clinical trials, pooled overall survival (hazard ratio, 0.65; 95% CI, 0.54-0.79; I2 = 0%), event-free survival (hazard ratio, 0.59; 95% CI, 0.52-0.67; I2 = 14.9%), major pathological response (risk ratio, 3.42; 95% CI, 2.83-4.15; I2 = 31.2%), and complete pathological response (risk ratio, 5.52; 95% CI, 4.25-7.15; I2 = 27.4%) favored neoadjuvant chemoimmunotherapy over neoadjuvant chemotherapy. For patients with baseline tumor PD-L1 levels less than 1%, there was a significant benefit in event-free survival for neoadjuvant chemoimmunotherapy compared with chemotherapy (hazard ratio, 0.74; 95% CI, 0.62-0.89; I2 = 0%). CONCLUSION AND RELEVANCE: This study found that neoadjuvant chemoimmunotherapy was superior to neoadjuvant chemotherapy across surgical, pathological, and efficacy outcomes. These findings suggest that patients with resectable NSCLC with tumor PD-L1 levels less than 1% may have an event-free survival benefit with neoadjuvant chemoimmunotherapy.",2024,Systematic Review,JAMA oncology,systematic_review,unspecified,unspecified,unspecified,"EGFR=unspecified,ALK=unspecified,ROS1=unspecified,PDL1Bucket=any","[""chemotherapy"", ""immunotherapy"", ""adjuvant"", ""neoadjuvant"", ""therapy""]","[""unspecified""]",10
37451931,https://pubmed.ncbi.nlm.nih.gov/37451931,"MET Exon 14 Skipping in NSCLC: A Systematic Literature Review of Epidemiology, Clinical Characteristics, and Outcomes.","INTRODUCTION: MET exon 14 (METex14) skipping is a rare oncogenic driver in non-small-cell lung cancer (NSCLC) for which targeted therapy with MET tyrosine kinase inhibitors (TKIs) was recently approved. Given the heterogeneity in published data of METex14 skipping NSCLC, we conducted a systematic literature review to evaluate its frequency, patient characteristics, and outcomes. METHODS: On June 13, 2022 we conducted a systematic literature review of publications and conference abstracts reporting frequency, patient characteristics, or outcomes of patients with METex14 skipping NSCLC. RESULTS: We included 139 studies reporting frequency or patient characteristics (350,997 patients), and 39 studies reporting clinical outcomes (3989 patients). Median METex14 skipping frequency was 2.0% in unselected patients with NSCLC, with minimal geographic variation. Median frequency was 2.4% in adenocarcinoma or nonsquamous subgroups, 12.0% in sarcomatoid, and 1.3% in squamous histology. Patients with METex14 skipping NSCLC were more likely to be elderly, have adenocarcinoma histology; there was no marked sex or smoking status distribution. In first line of treatment, median objective response rate ranged from 50.7% to 68.8% with targeted therapies (both values correspond to MET TKIs), was 33.3% with immunotherapy, and ranged from 23.1% to 27.0% with chemotherapy. CONCLUSIONS: Patients with METex14 skipping are more likely to have certain characteristics, but no patient subgroup can be ruled out; thus, it is crucial to test all patients with NSCLC to identify suitable candidates for MET inhibitor therapy. MET TKIs appeared to result in higher efficacy outcomes, although no direct comparison with chemotherapy or immunotherapy regimens was found.",2023,Systematic Review,Clinical lung cancer,systematic_review,unspecified,non_squamous,unspecified,"EGFR=unspecified,ALK=unspecified,ROS1=unspecified,PDL1Bucket=any","[""chemotherapy"", ""immunotherapy"", ""therapy""]","[""unspecified""]",997
39389220,https://pubmed.ncbi.nlm.nih.gov/39389220,Improved Event-Free Survival After Complete or Major Pathologic Response in Patients With Resectable NSCLC Treated With Neoadjuvant Chemoimmunotherapy Regardless of Adjuvant Treatment: A Systematic Review and Individual Patient Data Meta-Analysis.,"INTRODUCTION: Neoadjuvant chemoimmunotherapy has reshaped the treatment landscape for resectable NSCLC, yet the prognostic significance of pathologic response remains unclear. We conducted a systematic review and individual patient data (IPD) meta-analysis to evaluate the impact of achieving pathologic complete response (pCR) or major pathologic response (MPR) on event-free survival (EFS) and assessed the influence of adjuvant immunotherapy. METHODS: We performed an IPD meta-analysis of prospective clinical trials on neoadjuvant or perioperative anti-programmed death-ligand 1 in combination with platinum-based chemotherapy in patients with resectable NSCLC. The IPD was extracted from Kaplan-Meier curves for pCR and MPR from the included studies. Survival outcomes were compared between patients achieving pCR or MPR and those who did not, considering both intention-to-treat and resected populations. RESULTS: Achieving pCR or MPR was associated with improved EFS in the intention-to-treat population (pCR, hazard ratio = 0.13; MPR, hazard ratio = 0.18, respectively) with a 24 months EFS rate of 94% and 88% for patients who achieved pCR and MPR, respectively. Independently from pCR status, patients who were treated in an experimental arm that included adjuvant immunotherapy had similar EFS. CONCLUSIONS: Our study reported a strong EFS improvement in patients who achieved either pCR or MPR after neoadjuvant chemoimmunotherapy. The use of adjuvant immunotherapy after tumor resection was not associated with improved EFS.",2025,Systematic Review,Journal of thoracic oncology : official publication of the International Association for the Study of Lung Cancer,systematic_review,unspecified,unspecified,unspecified,"EGFR=unspecified,ALK=unspecified,ROS1=unspecified,PDL1Bucket=any","[""chemotherapy"", ""immunotherapy"", ""adjuvant"", ""neoadjuvant"", ""therapy""]","[""EFS""]",undefined
39368244,https://pubmed.ncbi.nlm.nih.gov/39368244,Systematic review and network meta-analysis of lorlatinib with comparison to other anaplastic lymphoma kinase (ALK) tyrosine kinase inhibitors (TKIs) as first-line treatment for ALK-positive advanced non-smallcell lung cancer (NSCLC).,"BACKGROUND: Next-generation anaplastic lymphoma kinase (ALK) tyrosine kinase inhibitors (TKIs) (alectinib, brigatinib, and lorlatinib) demonstrate superior progression-free survival (PFS) over chemotherapy or crizotinib as first-line (1L) treatment of ALK-positive advanced non-smallcell lung cancer (NSCLC). METHODS: We conducted network meta-analyses (NMAs) comparing the relative efficacy of lorlatinib with other ALK TKIs in this indication. Evidence identified from a systematic literature review and subsequent updates formed the basis of our evidence. The primary analysis investigated PFS by independent review committee (IRC) in the intent-to-treat (ITT) population. Secondary outcomes included PFS among subgroups, intracranial time to progression (IC TTP), adverse events, and discontinuation due to adverse events. For each of the outcomes, Bayesian proportional hazards NMAs estimated the relative treatment effects. Additionally, we compared the design and results of eight published NMAs conducted for 1L ALK + advanced NSCLC to date. RESULTS: We formed a network of 10 trials, allowing indirect treatment comparisons. Two trials directly compared alectinib (600 mg twice daily) to crizotinib and one trial directly compared lorlatinib to crizotinib. The results of the NMA show that the hazard ratios (95 % credible interval [CrI]) for ITT PFS IRC were 0.61 (95 % CrI: 0.39, 0.97) when comparing lorlatinib with alectinib (600 mg twice daily) and 0.57 (95 % CrI: 0.35, 0.93) when comparing lorlatinib with brigatinib. In the review of published NMAs, HRs for lorlatinib versus alectinib (600 mg twice daily) and brigatinib were compared. This comparison confirmed that each published NMA yielded similar results. CONCLUSIONS: Our NMA analysis adds to existing findings and supplements data gaps from other published NMAs. Findings from eight published NMAs consistently supported lorlatinib as a clinically effective 1L treatment for ALK + advanced NSCLC patients compared to other TKIs.",2024,Systematic Review,"Lung cancer (Amsterdam, Netherlands)",systematic_review,unspecified,unspecified,first_line,"EGFR=unspecified,ALK=yes,ROS1=unspecified,PDL1Bucket=any","[""chemotherapy"", ""therapy""]","[""PFS"", ""TTP""]",undefined
37321074,https://pubmed.ncbi.nlm.nih.gov/37321074,Stereotactic body radiation therapy and thermal ablation for treatment of NSCLC: A systematic literature review and meta-analysis.,"RATIONALE: Stereotactic body radiation therapy (SBRT) is the standard of care for inoperable early stage non-small cell lung cancer (NSCLC). Use of image guided thermal ablation (IGTA; including microwave ablation [MWA] and radiofrequency ablation [RFA]) has increased in NSCLC, however there are no studies comparing all three. OBJECTIVE: To compare the efficacy of IGTA (including MWA and RFA) and SBRT for the treatment of NSCLC. METHODS: Published literature databases were systematically searched for studies assessing MWA, RFA, or SBRT. Local tumor progression (LTP), disease-free survival (DFS), and overall survival (OS) were assessed with single-arm pooled analyses and meta-regressions in NSCLC patients and a stage IA subgroup. Study quality was assessed with a modified methodological index for non-randomized studies (MINORS) tool. RESULTS: Forty IGTA study-arms (2,691 patients) and 215 SBRT study-arms (54,789 patients) were identified. LTP was lowest after SBRT at one and two years in single-arm pooled analyses (4% and 9% vs. 11% and 18%) and at one year in meta-regressions when compared to IGTA (OR = 0.2, 95%CI = 0.07-0.63). MWA patients had the highest DFS of all treatments in single-arm pooled analyses. In meta-regressions at two and three-years, DFS was significantly lower for RFA compared to MWA (OR = 0.26, 95%CI = 0.12-0.58; OR = 0.33, 95%CI = 0.16-0.66, respectively). OS was similar across modalities, timepoints, and analyses. Older age, male patients, larger tumors, retrospective studies, and non-Asian study region were also predictors of worse clinical outcomes. In high-quality studies (MINORS score ≥ 7), MWA patients had better clinical outcomes than the overall analysis. Stage IA MWA patients had lower LTP, higher OS, and generally lower DFS, compared to the main analysis of all NSCLC patients. CONCLUSIONS: NSCLC patients had comparable outcomes after SBRT and MWA, which were better than those with RFA.",2023,Systematic Review,"Lung cancer (Amsterdam, Netherlands)",systematic_review,unspecified,unspecified,unspecified,"EGFR=unspecified,ALK=unspecified,ROS1=unspecified,PDL1Bucket=any","[""therapy""]","[""OS"", ""DFS""]",691
32522713,https://pubmed.ncbi.nlm.nih.gov/32522713,Neoadjuvant Immunotherapy for NSCLC: Current Concepts and Future Approaches.,"Lung cancer is the leading cause of cancer-related deaths worldwide. Patients with resectable NSCLC are often treated with surgery and adjuvant chemotherapy. However, these patients continue to have a high risk of recurrence and death. Unfortunately, there has been little progress in the treatment of resectable NSCLC over the past several decades. Neoadjuvant therapy, which has been considered as an approach to improve survival in patients with resectable NSCLC, is a hotly debated topic. A systematic review of 32 randomized trials involving 10,000 patients revealed that there was no difference in survival between preoperative and postoperative chemotherapy. Because of such results and the theoretical concern about resectable tumors progressing on relatively ineffective neoadjuvant chemotherapy, and thus becoming unresectable, neoadjuvant chemotherapy fell out of favor, and many clinicians preferred adjuvant chemotherapy after surgery. However, neoadjuvant therapy has been revived in the past couple of years, with emerging data from various ongoing trials suggesting that neoadjuvant immunotherapy may have significant efficacy and could potentially improve the survival of patients with resectable NSCLC. In this review article, we discuss the evidence supporting the role of neoadjuvant immunotherapy in the multimodal management of resectable NSCLC. We summarize early results of ongoing clinical trials and highlight the challenges in adopting a uniform definition of treatment ""success."" We address hurdles to be overcome for seeking regulatory approval for neoadjuvant immunotherapy and establishing it as a standard of care. Finally, we provide some perspectives for the future.",2020,Systematic Review,Journal of thoracic oncology : official publication of the International Association for the Study of Lung Cancer,systematic_review,unspecified,unspecified,unspecified,"EGFR=unspecified,ALK=unspecified,ROS1=unspecified,PDL1Bucket=any","[""chemotherapy"", ""immunotherapy"", ""adjuvant"", ""neoadjuvant"", ""therapy""]","[""unspecified""]",0
40913837,https://pubmed.ncbi.nlm.nih.gov/40913837,Immunotherapy for resectable NSCLC: neoadjuvant/perioperative followed by surgery over surgery followed by adjuvant. Systematic review and meta-analysis with subgroup analyses.,"BACKGROUND: Immunotherapy has rapidly changed the treatment of early-stage non-small-cell lung cancer (NSCLC) in recent years. We aimed to summarize available evidence on the use of immunotherapy in neoadjuvant/perioperative and adjuvant settings for resectable NSCLC and explore some controversial subgroups. MATERIALS AND METHODS: Systematic literature research was carried out for randomized controlled trials of neoadjuvant/perioperative chemo-immunotherapy or adjuvant immunotherapy for resectable NSCLC. Separate meta-analyses for neoadjuvant/perioperative or adjuvant immunotherapy were carried out. Subgroup analyses were also carried out to estimate the effect of immunotherapy according to tumor histology, stage, programmed death-ligand 1 (PD-L1), age, sex and smoking status. RESULTS: Out of 6005 records screened, a total of 11 trials met the inclusion criteria. This pooled analysis showed that patients receiving neoadjuvant or perioperative chemo-immunotherapy had significantly better event-free survival (EFS) compared with those treated with neoadjuvant chemotherapy alone [hazard ratio (HR) 0.58, 95% confidence interval (CI) 0.51-0.66]. Similarly, adjuvant immunotherapy also led to improved outcomes (HR 0.85, 95% CI 0.77-0.94). However, among patients with stage II NSCLC, neoadjuvant/perioperative chemo-immunotherapy demonstrated EFS benefit (HR 0.69, 95% CI 0.54-0.88), while no significant EFS benefit was observed with adjuvant immunotherapy (HR 0.81, 95% CI 0.63-1.05). Similarly, there was an improvement in EFS for patients with squamous-cell carcinoma who received neoadjuvant/perioperative chemo-immunotherapy versus neoadjuvant chemotherapy (HR 0.56, 95% CI 0.45-0.68) and for PD-L1 < 1% (HR 0.77, 95% CI 0.65-0.93), whereas such improvement was not evident with adjuvant immunotherapy (HR 0.93, 95% CI 0.76-1.13 and HR 0.85, 95% CI 0.71-1.01, respectively). Overall survival analysis demonstrated a significant benefit from neoadjuvant/perioperative immunotherapy (HR 0.65, 95% CI 0.53-0.81), but not with adjuvant immunotherapy (HR 0.91, 95% CI 0.76-1.10). CONCLUSIONS: Our results indicate that neoadjuvant/perioperative immunotherapy should be considered the standard. This should be preferred over upfront surgery, also in stage II, PD-L1-negative and squamous histology.",2025,Systematic Review,ESMO open,systematic_review,early,unspecified,unspecified,"EGFR=unspecified,ALK=unspecified,ROS1=unspecified,PDL1Bucket=any","[""chemotherapy"", ""immunotherapy"", ""adjuvant"", ""neoadjuvant"", ""therapy""]","[""EFS""]",undefined
34278827,https://pubmed.ncbi.nlm.nih.gov/34278827,Neoadjuvant osimertinib with/without chemotherapy versus chemotherapy alone for EGFR-mutated resectable non-small-cell lung cancer: NeoADAURA.,"Osimertinib is a third-generation, irreversible oral EGFR-tyrosine kinase inhibitor), that potently inhibits EGFR-tyrosine kinase inhibitor-sensitizing mutations and T790M resistance mutations together with efficacy in CNS metastases in patients with non-small-cell lung cancer (NSCLC). Here we describe the rationale and design for the Phase III NeoADAURA study (NCT04351555), which will evaluate neoadjuvant osimertinib with or without chemotherapy versus chemotherapy alone prior to surgery, in patients with resectable stage II-IIIB N2 EGFR mutation-positive NSCLC. The primary end point is centrally assessed major pathological response at the time of resection. Secondary end points include event-free survival, pathological complete response, nodal downstaging at the time of surgery, disease-free survival, overall survival and health-related quality of life. Safety and tolerability will also be assessed. Trial Registration number: NCT04351555 (ClinicalTrials.gov).",2021,Randomized Control Trial,"Future oncology (London, England)",phase2_rct,unspecified,unspecified,unspecified,"EGFR=yes,ALK=unspecified,ROS1=unspecified,PDL1Bucket=any","[""chemotherapy"", ""adjuvant"", ""neoadjuvant"", ""therapy""]","[""unspecified""]",undefined
40213564,https://pubmed.ncbi.nlm.nih.gov/40213564,"Neoadjuvant immunotherapy for NSCLC: superior combination strategies, optimal treatment cycles, and predictive indicators from a Bayesian meta-analysis.","BACKGROUND: Neoadjuvant immune checkpoint inhibitors (ICIs) have emerged as a promising treatment strategy for resectable non-small cell lung cancer (NSCLC). However, optimal combination strategies, treatment cycles, and predictive indicators for long-term outcomes remain unclear. This study aimed to evaluate the efficacy of various neoadjuvant ICI-based therapies in resectable NSCLC, identify the optimal treatment cycles for neoadjuvant immunochemotherapy, and assess the prognostic value of pathological complete response (pCR) and major pathological response (MPR) for event-free survival (EFS). METHODS: A systematic literature search was conducted in PubMed, EMBASE, Cochrane CENTRAL, and Web of Science, including studies published up to October 2024. Bayesian models were used to analyze the efficacy of different ICI-based treatment combinations, assess the impact of immunochemotherapy cycles on MPR and pCR, and examine the predictive value of MPR and pCR for EFS. RESULTS: Data from 34 studies were included, consisting of 32 single-arm studies (reported in 26 papers) and 8 RCTs, involving 4,593 patients. Immunochemotherapy combined with anti-angiogenesis agents was the most effective treatment strategy, significantly improving both MPR and pCR. No significant improvement in efficacy was observed when the number of neoadjuvant immunochemotherapy cycles exceeded 3 cycles. Both MPR and pCR were strong predictors of EFS. MPR showed a stronger negative correlation with event risk compared to pCR, with a log (HR) of -2.110 (95% CI: -4.150, -0.071) for MPR, and a log (HR) of -1.665 (95% CI: -2.419, -0.992) for pCR. CONCLUSION: Neoadjuvant immunochemotherapy combined with anti-angiogenesis agents appears to be a highly effective strategy for resectable NSCLC. Three cycles of neoadjuvant immunochemotherapy demonstrated optimal efficacy in this study. Both MPR and pCR are valuable prognostic indicators for EFS, with MPR showing a stronger predictive value. These findings offer important insights for optimizing treatment strategies and informing clinical decision-making in resectable NSCLC. SYSTEMATIC REVIEW REGISTRATION: PROSPERO, identifier CRD42024592346.",2025,Systematic Review,Frontiers in immunology,systematic_review,unspecified,unspecified,unspecified,"EGFR=unspecified,ALK=unspecified,ROS1=unspecified,PDL1Bucket=any","[""chemotherapy"", ""immunotherapy"", ""adjuvant"", ""neoadjuvant"", ""therapy""]","[""EFS""]",593
39929333,https://pubmed.ncbi.nlm.nih.gov/39929333,First-Line Camrelizumab Versus Placebo Plus Chemotherapy With or Without Radiotherapy for Brain Metastases in NSCLC: The CTONG 2003 Randomized Placebo-Controlled Trial.,"INTRODUCTION: Retrospective studies have indicated the potential benefits of immunotherapy for brain metastases (BMs) in NSCLC. To our knowledge, CTONG 2003 is the first randomized controlled trial to evaluate camrelizumab for untreated BM of NSCLC. METHODS: CTONG 2003 is a multicenter, randomized, double-blind, placebo-controlled trial. Treatment-naïve NSCLC with BM, negative for EGFR mutations and ALK fusions, were randomized 1:1 to receive either camrelizumab or placebo, plus platinum-doublet chemotherapy for four to six cycles, followed by maintenance therapy with camrelizumab or placebo with or without pemetrexed for up to 31 cycles. Radiotherapy was administered for BM, if necessary, within 42 days of the first treatment dose. The co-primary endpoints were intracranial progression-free survival (iPFS) and progression-free survival (PFS). The planned enrollment included 200 patients, but recruitment was terminated early because of therapeutic paradigm shifts globally. RESULTS: Between May 28, 2021, and July 21, 2023, 60 patients were randomized, with 32 assigned to the camrelizumab group and 28 to the placebo group. The median iPFS was 12.7 months (95% confidence interval [CI]: 7.1-25.3) for camrelizumab versus 9.9 months (95% CI: 6.3-14.6) for placebo (hazard ratio = 0.45, 95% CI: 0.21-0.96). The median PFS was 9.7 months (95% CI: 6.6-14.0) for camrelizumab versus 6.7 months (95% CI: 4.1-8.6) for placebo (hazard ratio = 0.57, 95% CI: 0.29-1.11). Grade 3 or higher treatment-related adverse events occurred in 65.6% and 46.4% of the respective groups, mainly neutrophil count decrease and anemia. CONCLUSIONS: Despite early termination, camrelizumab demonstrated a trend toward improved iPFS and PFS in the BM of NSCLC with an acceptable safety profile. TRIAL REGISTRATION: ClinicalTrials.gov Identifier: NCT04768075.",2025,Randomized Control Trial,Journal of thoracic oncology : official publication of the International Association for the Study of Lung Cancer,retrospective,unspecified,unspecified,unspecified,"EGFR=yes,ALK=yes,ROS1=unspecified,PDL1Bucket=any","[""chemotherapy"", ""platinum-doublet"", ""immunotherapy"", ""therapy""]","[""PFS""]",200
