pmid,url,title,abstract,publicationYear,publicationType,journalTitle,evidenceType,diseaseSetting,histology,lineOfTherapy,biomarkers,interventionTags,outcomeTags,relevantN
37505120,https://pubmed.ncbi.nlm.nih.gov/37505120,Comparation of EGFR-TKI (EGFR tyrosine kinase inhibitors) combination therapy and osimertinib for untreated EGFR-mutated advanced non-small cell lung cancers: A systematic review and network meta-analysis.,"BACKGROUND: EGFR-TKI (tyrosine kinase inhibitor) monotherapy has become the first-line treatment option for patients with EGFR-mutated non-small cell lung cancer (NSCLC). Prolonging the survival time, improving the progression-free survival of front-line treatment, and delaying the occurrence of drug resistance. At present, combination therapy is being widely used. Evaluate the therapeutic effect of TKI joint and Osimertinib drug therapy for positive patients with gene positive. MATERIAL AND METHODS: Articles that met the inclusion criteria were searched through electronic databases. treatment emergent adverse events were summarized, and progression-free survival (PFS) and overall survival (OS) were calculated. Appropriate networks for different outcomes were created to incorporate all the evidence. Bayesian network-based multitreatment was used to compare the efficacy and specific toxicity of all treatment regimens. RESULTS: Fourteen eligible studies involving 2325 patients were included. Of these, 7 studies compared EGFR-TKI plus chemotherapy with EGFR-TKI alone, and 6 studies compared EGFR-TKI plus antiangiogenic therapy with EGFR-TKI alone. One study compared Osimertinib and GP, ER, EB, and GCP were more effective than SOC in PFS analysis; however, there was no significant difference between osimertinib and the other 4 combination regimens. The cumulative probabilities of being the most efficacious treatments were (PFS, OS, treatment emergent adverse events): O (73%, 16%, 0%, 0%), GCP (14%, 64%, 10%, 16%), GP (2%, 17%,8%), and EB (3%, 3%, 8%), ER (5%, NA, 4%);GA(1%, NA, 69%). CONCLUSION: Osimertinib has the lowest side effects and provides better PFS first-line treatment in advanced EGFR-mutated NSCLC.GCP is the best regimen for OS, but its toxicity limits its application, and it may be the first choice for patients with higher survival requirements.",2023,Systematic Review,Medicine,systematic_review,unspecified,unspecified,first_line,"EGFR=yes,ALK=unspecified,ROS1=unspecified,PDL1Bucket=any","[""chemotherapy"", ""egfr-tki"", ""antiangiogenic"", ""therapy""]","[""OS"", ""PFS""]",2325
32800915,https://pubmed.ncbi.nlm.nih.gov/32800915,Cardiotoxic mechanisms of cancer immunotherapy - A systematic review.,"Cancer immunotherapy is a success story of translational medicine that has led to improved survival in patients with different difficult-to-treat types of cancer, such as metastasized melanoma, non-small cell lung cancer or renal cell carcinoma. These novel therapeutic agents exert their antitumor effects by activating the patients' immune system against cancer cells. Immunotherapy can be divided into active agents, such as anti-tumour vaccines or adoptive T-cell transfer, and passive immunotherapies like monoclonal antibodies, checkpoint inhibitors, cytokine therapy, bispecific T-cell engagers. After initial experimental use, broad clinical application revealed a number of important cardiovascular side effects of immunotherapeutics, which limit treatment options and decrease patients' prognosis and quality of life. With the rising rate of new immunotherapeutics at a hand, the number of patients receiving cancer immunotherapy will constantly increase, resulting in improved long-term survival rates. This review aims to summarize available cancer immunotherapies, their mechanism of action, currently known cardiovascular toxicities and their treatment. Further optimization of patient care will depend on the combined efforts by oncologists, cardiologists and cardiac surgeons to identify patients at risk and the implementation of interdisciplinary screening and treatment strategies. It is therefore crucial to familiarize heart specialists with novel cancer therapeutics and their potential adverse effects.",2021,Systematic Review,International journal of cardiology,systematic_review,unspecified,unspecified,unspecified,"EGFR=unspecified,ALK=unspecified,ROS1=unspecified,PDL1Bucket=any","[""immunotherapy"", ""therapy""]","[""unspecified""]",undefined
34730203,https://pubmed.ncbi.nlm.nih.gov/34730203,Efficacy and safety of epidermal growth factor receptor-tyrosine kinase inhibitor (EGFR-TKI) monotherapy for advanced EGFR-mutated non-small cell lung cancer: systematic review and meta-analysis.,"OBJECTIVE: It is controversial whether there is efficacy or safety benefit of epidermal growth factor receptor-tyrosine kinase inhibitor (EGFR-TKI) in advanced EGFR-mutated non-small cell lung cancer (NSCLC) compared to standard chemotherapy. We aim to assess the efficacy and safety of EGFR-TKIs compared to other chemotherapeutics in EGFR-mutated NSCLC. MATERIALS AND METHODS: Up to April 27th, 2020, PubMed, Embase, Medline, Scopus, Cochrane library, and ClinicalTrials.gov were searched for articles or trials meeting the inclusion criteria. After filtering, 230 eligible studies were initially identified. Data extraction followed PRISMA and included outcomes were progression-free survival (PFS), overall survival (OS), and severe adverse events (SAEs). Direct and indirect meta-analyses were generated in the context of log-linear mixed-effects models, with fixed effects for each relative comparison and random effects for each study. RESULTS: The results showed that EGFR-TKI therapy had improved PFS with a hazard ratio (HR) of 0.40 (95% CI: 0.36-0.44, p<0.001) compared to standard chemotherapy. Nevertheless, the EGFR-TKIs showed no benefit on OS (HR: 0.96, 95% CI: 0.83-1.10, p=0.556). In the analysis of adverse events, EGFR-TKIs had fewer SAEs than standard chemotherapy (HR: 0.29, 95% CI: 0.26-0.33, p<0.001). CONCLUSIONS: Our systemic review indicates that EGFR-TKI therapy has improved PFS, and reduced SAEs compared to standard chemotherapy in advanced EGFR-mutated NSCLC.",2021,Systematic Review,European review for medical and pharmacological sciences,systematic_review,unspecified,unspecified,mixed,"EGFR=yes,ALK=unspecified,ROS1=unspecified,PDL1Bucket=any","[""chemotherapy"", ""egfr-tki"", ""therapy""]","[""OS"", ""PFS""]",undefined
34284948,https://pubmed.ncbi.nlm.nih.gov/34284948,Efficacy and Safety of Combined Brain Radiotherapy and Immunotherapy in Non-Small-Cell Lung Cancer With Brain Metastases: A Systematic Review and Meta-Analysis.,"BACKGROUND: Immune checkpoint inhibitors (ICIs) are recommended to treat advanced non-small-cell lung cancer (NSCLC), whereas brain radiotherapy (RT) is the mainstream therapy for patients with brain metastases (BMs). This systematic review and meta-analysis investigated whether the combination of brain RT and ICIs would generate a synergistic effect without unacceptable toxicity to treat NSCLC with BMs. METHODS: Literature searching was performed in PubMed, Embase, Web Of Science, and The Cochrane Library up to December 20, 2020. Heterogeneity, sensitivity analysis, forest plots, and publication bias were analyzed using Stata 15.0. RESULTS: Nineteen studies were included. In the comparison of the brain RT+ICIs arm and brain RT alone arm, the pooled effect size (ES) for overall survival (OS) (hazard ratio [HR] = 0.77; 95% confidence interval [CI] 0.71-0.83; I² = 0; P < .001; n = 4) and grade 3-4 neurological adverse events (AEs) (risk ratio [RR] = 0.91; 95% CI 0.41-2.02; I² = 26.5; P = .809; n = 4) indicated that the brain RT+ICIs model had significantly better systemic efficacy and similar neurological AEs compared with brain RT alone for NSCLC. Concurrent RT+ICIs were identified as the optimal model, which achieved the best efficacy without significantly increased AEs compared with sequential RT+ICIs. CONCLUSIONS: Combined ICIs and brain RT exhibited favorable efficacy and acceptable toxicity for NSCLC patients with BMs, among which, the concurrent model might be the optimal option. Our results could guide the design of future randomized controlled trials and clinical practice.",2022,Systematic Review,Clinical lung cancer,systematic_review,unspecified,unspecified,unspecified,"EGFR=unspecified,ALK=unspecified,ROS1=unspecified,PDL1Bucket=any","[""immunotherapy"", ""therapy""]","[""OS""]",undefined
30734504,https://pubmed.ncbi.nlm.nih.gov/30734504,Comparative efficacy and safety of first-line treatments for advanced non-small cell lung cancer with immune checkpoint inhibitors: A systematic review and meta-analysis.,"BACKGROUND: Non-small cell lung cancer (NSCLC) is the predominant type of lung cancer, and most clinically curable patients are diagnosed with locally advanced disease. Although the efficacy of standard platinum-based chemotherapy doublets is relatively limited. The effect of immune checkpoint inhibitors (ICIs) remains controversial, and its role in the first-line treatment of advanced NSCLC is obscure. Thus, we carried out a systematic review and meta-analysis to compare the efficacy and safety of ICIs for advanced NSCLC. METHODS: The PubMed, Cochrane Central Register Trial, and American Society of Clinical Oncology databases were searched from inception to 30 April 2018. We searched for randomized controlled trials comparing single-agent programmed cell death protein 1/programmed death-ligand 1 inhibitors (nivolumab, pembrolizumab, or atezolizumab) or cytotoxic T-lymphocyte-associated antigen 4 inhibitor (ipilimumab) with chemotherapy in NSCLC patients. Progression-free survival, overall survival, objective response rate, and adverse events were pooled for meta-analysis by Review Manager (RevMan version 5.3) software. RESULTS: After exclusion of ineligible studies, 12 eligible randomized controlled trials were included. Data showed that ICIs significantly improved progression-free survival (HR 0.66, 95% CI 0.57-0.77, P < 0.00001), overall survival (HR 0.77, 95% CI 0.64-0.91, P = 0.003), and but not objective response rate (RR 1.97, 95% CI 1.25-3.13, P = 0.004) in all unselected NSCLC populations. However, they failed to increase the OS of programmed death-ligand 1 = 1-49% subgroup (HR 0.78, 95% CI 0.51-1.19, P = 0.25) and PFS of programmed death-ligand 1<1% subgroup (HR 0.85; 95%CI 0.70 to 1.03, P=0.09) in ICIs+chemotherapy over chemotherapy. Meanwhile, OS of programmed death-ligand =1-49% subgroup (HR 0.92; 95%CI 0.77 to 1.10, P=0.36) and PFS of programmed death-ligand 1≥50% subgroup (HR 0.76; 95%CI 0.52 to 1.11, P=0.15) showed no significant differences in ICIs over chemotherapy. Furthermore, fewer adverse events were observed in the ICIs groups than control groups. CONCLUSION: ICIs are overall better tolerated than chemotherapy. Our results provide further evidence supporting the favorable risk/benefit ratio for ICIs.",2019,Systematic Review,Thoracic cancer,systematic_review,locally advanced,unspecified,first_line,"EGFR=unspecified,ALK=unspecified,ROS1=unspecified,PDL1Bucket=any","[""chemotherapy"", ""nivolumab"", ""therapy""]","[""OS"", ""PFS""]",undefined
33332190,https://pubmed.ncbi.nlm.nih.gov/33332190,Gefitinib Versus Vinorelbine Plus Cisplatin as Adjuvant Treatment for Stage II-IIIA (N1-N2) EGFR-Mutant NSCLC: Final Overall Survival Analysis of CTONG1104 Phase III Trial.,"PURPOSE: ADJUVANT-CTONG1104 (ClinicalTrials.gov identifier: NCT01405079), a randomized phase III trial, showed that adjuvant gefitinib treatment significantly improved disease-free survival (DFS) versus vinorelbine plus cisplatin (VP) in patients with epidermal growth factor receptor (EGFR) mutation-positive resected stage II-IIIA (N1-N2) non-small-cell lung cancer (NSCLC). Here, we report the final overall survival (OS) results. METHODS: From September 2011 to April 2014, 222 patients from 27 sites were randomly assigned 1:1 to adjuvant gefitinib (n = 111) or VP (n = 111). Patients with resected stage II-IIIA (N1-N2) NSCLC and EGFR-activating mutation were enrolled, receiving gefitinib for 24 months or VP every 3 weeks for four cycles. The primary end point was DFS (intention-to-treat [ITT] population). Secondary end points included OS, 3-, 5-year (y) DFS rates, and 5-year OS rate. Post hoc analysis was conducted for subsequent therapy data. RESULTS: Median follow-up was 80.0 months. Median OS (ITT) was 75.5 and 62.8 months with gefitinib and VP, respectively (hazard ratio [HR], 0.92; 95% CI, 0.62 to 1.36; P = .674); respective 5-year OS rates were 53.2% and 51.2% (P = .784). Subsequent therapy was administered upon progression in 68.4% and 73.6% of patients receiving gefitinib and VP, respectively. Subsequent targeted therapy contributed most to OS (HR, 0.23; 95% CI, 0.14 to 0.38) compared with no subsequent therapy. Updated 3y DFS rates were 39.6% and 32. 5% with gefitinib and VP (P = .316) and 5y DFS rates were 22. 6% and 23.2% (P = .928), respectively. CONCLUSION: Adjuvant therapy with gefitinib in patients with early-stage NSCLC and EGFR mutation demonstrated improved DFS over standard of care chemotherapy. Although this DFS advantage did not translate to a significant OS difference, OS with adjuvant gefitinib was one of the longest observed in this patient group compared with historic data.",2021,Randomized Control Trial,Journal of clinical oncology : official journal of the American Society of Clinical Oncology,phase2_rct,early,unspecified,unspecified,"EGFR=yes,ALK=unspecified,ROS1=unspecified,PDL1Bucket=any","[""chemotherapy"", ""adjuvant"", ""therapy""]","[""OS"", ""DFS""]",222
37702629,https://pubmed.ncbi.nlm.nih.gov/37702629,Lazertinib Versus Gefitinib Tyrosine Kinase Inhibitors in Treatment-Naíve Patients With EGFR-Mutated Advanced NSCLC: Analysis of the Asian Subpopulation in LASER301.,"INTRODUCTION: Lazertinib is a third-generation central nervous system-penetrant tyrosine kinase inhibitor targeting mutant EGFR in NSCLC. Lazertinib exhibited improved efficacy versus gefitinib in the LASER301 study; this subset analysis compared lazertinib with gefitinib among Asian patients. METHODS: The phase 3 LASER301 study evaluated lazertinib efficacy and safety in treatment-naive patients with EGFR-mutated (exon 19 deletion or L858R) locally advanced or metastatic NSCLC. Patients were randomized one-to-one and received either lazertinib or gefitinib. The primary end point was investigator-assessed progression-free survival using Response Evaluation Criteria in Solid Tumors version 1.1. Secondary end points included overall survival, objective response rate, duration of response, and safety. RESULTS: Between February 13, 2020, and July 29, 2022, among 258 patients of Asian descent, the median progression-free survival was significantly longer with lazertinib than gefitinib (20.6 versus 9.7 mo; hazard ratio: 0.46; 95% confidence interval [CI]: 0.34-0.63, p < 0.001), and the benefit was consistent across predefined subgroups (exon 19 deletion, L858R, baseline central nervous system metastases). Objective response rate and disease control rates were similar between treatment groups. The median duration of response was 19.4 months (95% CI: 16.6-24.9) versus 9.6 months (95% CI: 6.9-12.4) in the lazertinib versus gefitinib group. Adverse event rates in Asian patients were comparable with the overall LASER301 population. Adverse events leading to discontinuation in the lazertinib and gefitinib groups were 13% and 12%, respectively. CONCLUSIONS: In LASER301, efficacy and safety results in Asian patients were consistent with the overall population. Lazertinib exhibited better efficacy than gefitinib in Asian patients with a tolerable safety profile.",2023,Randomized Control Trial,Journal of thoracic oncology : official publication of the International Association for the Study of Lung Cancer,phase3_rct,mixed,unspecified,unspecified,"EGFR=yes,ALK=unspecified,ROS1=unspecified,PDL1Bucket=any","[""lazertinib""]","[""unspecified""]",258
32527124,https://pubmed.ncbi.nlm.nih.gov/32527124,"Effect of alectinib versus crizotinib on progression-free survival, central nervous system efficacy and adverse events in ALK-positive non-small cell lung cancer: a systematic review and meta-analysis.","BACKGROUND: Lung cancer is the most common malignant tumor, and it remains the major cause of cancerrelated death worldwide. Anaplastic lymphoma kinase fusion gene-rearrangement (ALK-positive) nonsmall cell lung cancer (NSCLC) is a unique subgroup that accounts for 3-7% of NSCLC cases. Over the last few years, the introduction of several ALK inhibitors has completely altered the treatment of advanced ALK-positive NSCLC and significantly improved the prognosis for patients. Crizotinib was the first ALK inhibitor developed, and it has demonstrated systemic efficacy and strongly improved outcomes in NSCLC patients with ALK-positive when compared with chemotherapy. Alectinib was designed specifically to be a more potent and selective anti-ALK therapeutic agent that could bypass crizotinib resistance. This study aims to evaluate the different efficacies of alectinib and crizotinib on progression-free survival (PFS), central nervous system (CNS) progression and adverse events (AEs) in NSCLC patients with ALK-positive. METHODS: We searched for relevant literature in four electronic databases: PubMed, EMBASE, Cochrane Library, and Web of Science. The hazard ratio (HR) was calculated, and the effect of alectinib and crizotinib on PFS was evaluated. The quality of the studies was assessed using the Cochrane Risk of Bias tool. Publication bias was assessed using the Begg rank correlation test and the Egger weighted linear regression test. We performed the sensitivity analysis using the method of ""removing one study"". All analyses were performed in STATA. RESULTS: Ten studies were included, and the total sample size was 2,377. Alectinib showed significant PFS superiority over crizotinib. The pooled HR =0.41 (95% CI: 0.29-0.53) indicated that the alectinib therapy group did have significantly longer PFS than that of the crizotinib group. Based on 5 clinical trials, the cumulative incidence of CNS progression for patients treated with alectinib at 6 months (10%, 95% CI: 5-16%) and 12 months (16%, 95% CI: 9-24%) was calculated. Based on 7 clinical studies, the risk of AEs related to treatment with alectinib was determined: alectinib was associated with 28 cases of AE grade ≤2 and 9 cases of AE grade ≥3; among the top 4 incidences of AE grade ≥3, were blood creatine phosphokinase increased 5.6%, ALT increased 2.5%, AST increased 2.4% and Anemia 1.8%. CONCLUSIONS: Alectinib significantly prolongs PFS and it better controls CNS metastases than crizotinib and good toxicity characteristics in the first-line treatment of NSCLC patients with ALK-positive.",2020,Systematic Review,Annals of palliative medicine,systematic_review,unspecified,unspecified,first_line,"EGFR=unspecified,ALK=yes,ROS1=unspecified,PDL1Bucket=any","[""chemotherapy"", ""therapy""]","[""PFS"", ""AE""]",undefined
28923084,https://pubmed.ncbi.nlm.nih.gov/28923084,Viral based vaccine TG4010 induces broadening of specific immune response and improves outcome in advanced NSCLC.,"BACKGROUND: Advanced non-small cell lung cancer patients receiving TG4010, a therapeutic viral vaccine encoding human Mucin 1 and interleukin-2 in addition to standard chemotherapy, displayed longer overall survival in comparison to that of patients treated with standard chemotherapy alone. Our study intended to establish the association between overall survival and vaccine-induced T cell responses against tumor associated antigens (TAA) targeted by the vaccine. METHOD: The TIME trial was a placebo-controlled, randomized phase II study aimed at assessing efficacy of TG4010 with chemotherapy in NSCLC. 78 patients from the TIME study carrying the HLA-A02*01 haplotype were analyzed using combinatorial encoding of MHC multimers to detect low frequencies of cellular immune responses to TG4010 and other unrelated TAA. RESULTS: We report that improvement of survival under TG4010 treatment correlated with development of T cell responses against MUC1. Interestingly, responses against MUC1 were associated with broadening of CD8 responses against non-targeted TAA, thus demonstrating induction of epitope spreading. CONCLUSION: Our results support the causality of specific T-cell response in improved survival in NSCLC. Additionally, vaccine induced epitope spreading to other TAA participates to the enrichment of the diversity of the anti-tumor response. Hence, TG4010 appears as a useful therapeutic option to maximize response rate and clinical benefit in association with other targeted immuno-modulators. TRIAL REGISTRATION: Registered on ClinicalTrials.gov under identifier NCT01383148 on June 23rd, 2011.",2017,Randomized Control Trial,Journal for immunotherapy of cancer,phase2_rct,unspecified,unspecified,unspecified,"EGFR=unspecified,ALK=unspecified,ROS1=unspecified,PDL1Bucket=any","[""chemotherapy"", ""therapy""]","[""unspecified""]",78
30215676,https://pubmed.ncbi.nlm.nih.gov/30215676,Alectinib versus crizotinib in treatment-naive anaplastic lymphoma kinase-positive (ALK+) non-small-cell lung cancer: CNS efficacy results from the ALEX study.,"BACKGROUND: The phase III ALEX study in patients with treatment-naive advanced anaplastic lymphoma kinase mutation-positive (ALK+) non-small-cell lung cancer (NSCLC) met its primary end point of improved progression-free survival (PFS) with alectinib versus crizotinib. Here, we present detailed central nervous system (CNS) efficacy data from ALEX. PATIENTS AND METHODS: Overall, 303 patients aged ≥18 years underwent 1:1 randomization to receive twice-daily doses of alectinib 600 mg or crizotinib 250 mg. Brain imaging was conducted in all patients at baseline and every subsequent 8 weeks. End points (analyzed by subgroup: patients with/without baseline CNS metastases; patients with/without prior radiotherapy) included PFS, CNS objective response rate (ORR), and time to CNS progression. RESULTS: In total, 122 patients had Independent Review Committee-assessed baseline CNS metastases (alectinib, n = 64; crizotinib, n = 58), 43 had measurable lesions (alectinib, n = 21; crizotinib, n = 22), and 46 had received prior radiotherapy (alectinib, n = 25; crizotinib, n = 21). Investigator-assessed PFS with alectinib was consistent between patients with baseline CNS metastases [hazard ratio (HR) 0.40, 95% confidence interval (CI): 0.25-0.64] and those without (HR 0.51, 95% CI: 0.33-0.80, P interaction = 0.36). Similar results were seen in patients regardless of prior radiotherapy. Time to CNS progression was significantly longer with alectinib versus crizotinib and comparable between patients with and without baseline CNS metastases (P < 0.0001). CNS ORR was 85.7% with alectinib versus 71.4% with crizotinib in patients who received prior radiotherapy and 78.6% versus 40.0%, respectively, in those who had not. CONCLUSION: Alectinib demonstrated superior CNS activity and significantly delayed CNS progression versus crizotinib in patients with previously untreated, advanced ALK+ NSCLC, irrespective of prior CNS disease or radiotherapy. CLINICAL TRIAL REGISTRATION: ClinicalTrials.gov NCT02075840.",2018,Randomized Control Trial,Annals of oncology : official journal of the European Society for Medical Oncology,phase2_rct,unspecified,unspecified,unspecified,"EGFR=unspecified,ALK=yes,ROS1=unspecified,PDL1Bucket=any","[""therapy""]","[""ORR"", ""PFS""]",303
37800773,https://pubmed.ncbi.nlm.nih.gov/37800773,Efficacy and safety of Xiao-ai-ping injection add-on therapy to chemotherapy in patients with non-small cell lung cancer: A systematic review and meta-analysis.,"BACKGROUND: Xiao-ai-ping injection (XAPI) combined with chemotherapy has potential efficacy and less side effects in the treatment of non-small cell lung cancer (NSCLC). At present, there are many clinical studies on XAPI combined with chemotherapy in the treatment of NSCLC, but the results are different. The purpose of this study was to evaluate the efficacy and safety of XAPI combined with chemotherapy in the treatment of NSCLC by meta-analysis system. METHODS: The databases to be searched include PubMed, Cochrane Library, Web of Science, Chinese National Knowledge Infrastructure, Chinese Biomedical Literature Database, Wanfang database, Chinese Scientific Journal Database, and so on. In addition, relevant journals and magazines will manually search in various fields as supplements. The search date is set from the establishment of the database until July 8, 2023. The 2 researchers will use Endnote X9 software for literature screening and data extraction and independently evaluate the quality. We then assessed the quality and risk of inclusion in the study and observed outcome indicators. RESULTS: A total of 28 trials were included in this study, 1947 patients with NSCLC (974 receiving XAPI combined chemotherapy and 973 receiving chemotherapy alone). The results of meta-analysis showed that: Objective tumor response rate of NSCLC (P < .00001). Improvement in Karnofsky performance score of NSCLC (P < .00001). Quality of life score of NSCLC (P < .00001). The result of CD3 + (P < .00001). The result of CD4 + (P < .00001). The result of CD8 + (P < .00001). The result of CD4+/CD8 + (P = .0001). Leukopenia (P < .00001). Thrombocytopenia (P < .00001). Hemoglobin decrease (P < .00001). Liver function (P = .04). Nausea and vomiting (P < .00001). CONCLUSION: Our meta-analyses demonstrated that XAPI adjunct with chemotherapy can improve the patient quality of life, reduce adverse reactions, and enhanced immune function, the treatment is effective and high safety. Which suggests that it might be used for NSCLC. However, a large sample of randomized controlled trials are needed to further study the long-term efficacy of XAPI.",2023,Systematic Review,Medicine,systematic_review,unspecified,unspecified,unspecified,"EGFR=unspecified,ALK=unspecified,ROS1=unspecified,PDL1Bucket=any","[""chemotherapy"", ""therapy""]","[""unspecified""]",1947
